State,Municipality,Health Facility,CNES
Amazonas,Manaus,UBS Fátima Andrade,7847866
Amazonas,Manaus,UBS Frei Valério di Carlo,2012898
Amazonas,Manaus,UBS Theodomiro Garrido,2013843
Amazonas,Manaus,UBS Santa Luzia,2013517
Amazonas,Manaus,UBS Rural Nossa Sra. de Fátima,2016109
Amazonas,Manaus,UBS Rural Nossa Sra. do Livramento,2016117
Amazonas,Manaus,UBS Santo Antônio DISA Oeste ,5388376
Amazonas,Manaus,UBS Mansour Bulbol,2015323
Amazonas,Manaus,UBS Dr.Alfredo Campos,2013916
Amazonas,Manaus,UBS Gebes de Melo Medeiro Filho,2015455
Amapá,Macapá,PMM UBS do Curiaú,2020025
Amapá,Macapá,PMM UBS Pacoval,2021161
Amapá,Macapá,PMM UBS Hozanan de Souza,2021056
Amapá,Macapá,PPM UBS Marabaixo,6585604
Amapá,Macapá,PMM UBS DR Lelio Silva,2020602
Amapá,Macapá,PMM UBS São Joaquim do Pacuí,2019914
Bahia,Salvador,USF Boa Vista do Lobato,2653419
Bahia,Salvador,USF Mussurunga I,7592450
Bahia,Salvador,USF de Barreiras,6890
Bahia,Salvador,USF Vale do Cambonas,7872836
Bahia,Salvador,USF Alto de Coutos II,6363857
Bahia,Lauro de Freitas,USF Vila Praiana,7120761
Bahia,Lauro de Freitas,USF De Caji - Vida Nova,5672198
Bahia,Lauro de Freitas,UBS Irmã Dulce,2799243
Bahia,Lauro de Freitas,UBS Antonio Carlos Rodrigues,2799189
Bahia,Lauro de Freitas,USF Espaço Cidadão,3044866
Bahia,Camaçari,USF Nova Vitória,2387883
Bahia,Camaçari,USF PHOC III,2387891
Bahia,Camaçari,UBS Vilas Abrantes,2387875
Bahia,Camaçari,UBS Gleba B,2387824
Bahia,Camaçari,USF de Fonte das Águas,2500248
Distrito Federal,Distrito Federal,Unidade Básica de Saúde N.01 Riacho Fundo II,5038669
Distrito Federal,Distrito Federal,Unidade Básica de Saúde N.01 – Estrutural,2779374
Distrito Federal,Distrito Federal,Unidade Básica de Saúde N.01 - Itapoã,6268269
Distrito Federal,Distrito Federal,Unidade Básica de Saúde N.03 Recanto das Emas,7170939
Distrito Federal,Distrito Federal,Unidade Básica de Saúde Nº 04 - Recanto das Emas,7417632
Distrito Federal,Distrito Federal,Unidade Básica de Saúde N.º 05 - Samambaia,6921736
Distrito Federal,Distrito Federal,Unidade Básica de Saúde N.08- Samambaia,7114397
Goiás,Luziânia,UBSF Alto das Caraíbas,2340461
Goiás,Luziânia,UBSF Parque Santa fé,5983525
Goiás,Luziânia,UBSF Residencial Copaíbas,2340437
Goiás,Luziânia,PSF Mandú,6771882
Goiás,Luziânia,UBSF Parque Estrela Dalva IV,6771912
Goiás,Goiânia,CSF Leste Universitário,3402177
Goiás,Goiânia,CSF Ville de France,2653842
Goiás,Goiânia,CSF Curitiba ,2506408
Goiás,Goiânia,CSF Vera Cruz I,2339420
Goiás,Goiânia,CSF Parque Santa Rita,3238458
Goiás,Goiânia,PSF Vale dos Sonhos,2653877
Minas Gerais,Belo Horizonte,Centro de Saúde Vale do Jatobá,22721
Minas Gerais,Belo Horizonte,Centro de Saúde Maria Madalena Teodoro,22543
Minas Gerais,Belo Horizonte,Centro de Saúde Urucuia,22624
Minas Gerais,Belo Horizonte,Centro de Saude Vila Cemig,22756
Minas Gerais,Belo Horizonte,Centro de Saúde Dom Bosco,23841
Minas Gerais,Belo Horizonte,Centro de Saúde Pindorama,23965
Minas Gerais,Belo Horizonte,Centro de Saúde Padre Fernando de Melo,23086
Minas Gerais,Belo Horizonte,Centro de Saúde Capitão Eduardo,2708302
Minas Gerais,Belo Horizonte,Centro de Saúde Novo Horizonte,22861
Minas Gerais,Belo Horizonte,Centro de Saúde Floramar I PBH,2695421
Minas Gerais,Belo Horizonte,Centro de Saúde Jardim Leblon,23612
Minas Gerais,Belo Horizonte,Centro de Saúde Mantiqueira,23655
Pernambuco,Recife,Upinha Acs Maria Rita da Silva,#ERROR!
Pernambuco,Recife,USF 237 PSF Sitio das Palmeiras,22365
Pernambuco,Recife,US 226 PSF Chão de Estrelas,22233
Pernambuco,Recife,US 182 PSF Poço da Panela,20567
Pernambuco,Recife,US 316 PSF Bernard Van Leer,3562581
Pernambuco,Olinda,USF Jardim Fragoso Beira Rio I E II ,2345293
Pernambuco,Olinda,USF Ilha de Santana I ,2344831
