CNES,state,municipality,facility_name
7938209,Acre,Rio Branco,Usf Manoel Bezerra Ii
7942559,Acre,Rio Branco,Usf Luiz Gonzaga Ii
3331806,Acre,Rio Branco,Usf Raimunda Dionisio
7565089,Acre,Rio Branco,Usf Maria De Jesus Iii
7799632,Acre,Rio Branco,Usf Valdeisa Correia Valdez
2020025,Amapa,Macapa,Pmm Ubs Do Curiau
2021161,Amapa,Macapa,Pmm Ubs Pacoval
2021056,Amapa,Macapa,Pmm Ubs Hozanan De Souza
6585604,Amapa,Macapa,Ppm Ubs Marabaixo
2020602,Amapa,Macapa,Pmm Ubs Dr Lelio Silva
2019914,Amapa,Macapa,Pmm Ubs Sao Joaquim Do Pacui
2012871,Amazonas,Manaus,Ubs Lourenco Borghi
5388376,Amazonas,Manaus,Ubs Santo Antonio
2012898,Amazonas,Manaus,Ubs Frei Valerio
2016109,Amazonas,Manaus,Psr N Sr De Fatima
2015285,Amazonas,Manaus,Ubs Jose Amazonas Palhano
7847866,Amazonas,Manaus,Ubs Fatima Andrade
2013843,Amazonas,Manaus,Ubs Theodomiro Garrido
2013517,Amazonas,Manaus,Ubs Santa Luzia
2016117,Amazonas,Manaus,Ubs Rural Nossa Sra. Do Livramento
2015323,Amazonas,Manaus,Ubs Mansour Bulbol
2013916,Amazonas,Manaus,Ubs Dr.Alfredo Campos
2015455,Amazonas,Manaus,Ubs Gebes De Melo Medeiro Filho
2653419,Bahia,Salvador,Usf Boa Vista Do Lobato
7592450,Bahia,Salvador,Usf Mussurunga I
6890,Bahia,Salvador,Usf De Barreiras
7872836,Bahia,Salvador,Usf Vale Do Cambonas
6363857,Bahia,Salvador,Usf Alto De Coutos Ii
7120761,Bahia,Lauro De Freitas,Usf Vila Praiana
5672198,Bahia,Lauro De Freitas,Usf De Caji - Vida Nova
2799243,Bahia,Lauro De Freitas,Ubs Irma Dulce
2799189,Bahia,Lauro De Freitas,Ubs Antonio Carlos Rodrigues
3044866,Bahia,Lauro De Freitas,Usf Espaco Cidadao
2387883,Bahia,Camacari,Usf Nova Vitoria
2387891,Bahia,Camacari,Usf Phoc Iii
2387875,Bahia,Camacari,Ubs Vilas Abrantes
2387824,Bahia,Camacari,Ubs Gleba B
2500248,Bahia,Camacari,Usf De Fonte Das Aguas
11215,Distrito Federal,Brazlandia,Centro De Saude N 01 Brazlandia
11509,Distrito Federal,Brazlandia,Psr Incra 08 Brazlandia
6662358,Distrito Federal,Brazlandia,Ubs 02 Vila Sao Jose
10731,Distrito Federal,Brasilia,Centro De Saude N 09 Brasilia (Cruzeiro Novo)
